Country,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
Costa Rica,10.95863296,10.67209515,12.37312329,12.56286832,11.83999288,10.19480048,8.418260536,9.846356274,11.0092109,10.84853581,11.61859387,10.38742281,9.988026796,12.57677442,11.46360877,10.98903581,9.803836196,7.812944333,9.176153996,9.873513117,9.38850775,10.22048983,8.830555716,9.372769669,11.30254309,11.54176824,13.09309153,13.24333256,13.40862641,13.96139757,13.73159159,14.06762158,12.78827652,11.97277867,11.62467831,9.64480659,9.009020475,9.221735132,8.916123163,10.24981301,10.99983065,11.89130943,15.11578032,15.48940327,12.85387347,9.803621836,5.807207108,3.534857498,5.595621591,6.033578657,5.295026892,5.730379376,4.663370255,4.902055169,5.20639692,4.738518665,4.158212918,4.785207983,4.215536957,4.816378333,6.153135906,5.573980652,5.497278518,3.742213495,3.03404861,4.159642795,5.291557596,5.570653765,3.650426918,1.265039087,-0.64157658,-0.95615539,-0.430454038,-0.743677795,0.485635491,0.626167018,1.106439194,1.696618639,1.237690104,2.463647167,2.410792823,2.181559258,2.17837714,2.115615955,1.540140721,2.270867991,2.757980098,1.816364039,1.760079193,0.603326429,0.021170503,0.529639656,0.614996587,1.486467867,1.750065565,3.050038907,4.728700619,8.643192834,11.32264471,8.371995843
"Croatia, Rep. of",6.009901602,6.424601621,6.930072303,6.221316205,4.027171277,3.721374037,4.391408125,3.937381405,3.85919674,4.105111855,5.008145778,5.453470667,4.628736734,4.981024667,3.085553991,2.462825271,2.764976958,1.174875737,1.043083906,1.723356015,1.748878928,1.473872262,2.064631956,1.783325907,1.806963411,2.288732388,1.802990328,2.321506782,3.116883119,3.012048196,3.282937364,3.852739725,3.442485312,3.842940683,3.262233372,2.225886237,1.623376615,2.172164123,2.875658164,4.919354836,5.910543132,6.535433069,7.440944885,4.458109149,3.808446458,2.882483368,1.209234149,1.655629139,0.871776248,0.682471242,1.086169442,1.48389431,2.268635205,2.283267965,2.04154724,2.496433719,1.478873251,3.453086863,4.106704168,4.592901829,4.614850769,2.292650047,1.786918431,0.266134356,-0.298507439,-0.395517498,-0.19874132,0.033178518,-0.432468351,0,-0.630600792,-0.796019867,-1.269629166,-1.720714763,-1.302605168,-0.20060182,1.082910339,1.077441095,1.015228407,1.340033476,0.970873749,1.898734178,1.876046885,1.256198379,0.563660504,0.7191893,0.887865854,0.914136505,1.351796894,-0.292113017,-0.097783534,-0.32351989,0.390370881,2.083333367,3.034257745,4.7062642,6.448476942,10.77806125,12.4762508,13.26720394
Cyprus,2.218893099,2.387769287,2.929600881,1.391455599,1.898188348,1.146049945,0.856780933,2.617518976,4.341302381,4.613811746,4.061146839,3.584839055,1.754385972,2.14684279,1.623478967,2.357789075,2.584636644,2.345534225,3.502186932,2.772648846,4.83698148,4.903202464,3.305760355,3.540187899,1.352022191,1.586754045,2.950477232,3.237092882,2.878298948,2.408036226,2.319224483,2.639627471,2.645915081,3.05506468,2.246967322,1.30483847,1.5284059,1.943799628,2.512710211,3.478679063,4.65600209,5.011279302,5.45223334,3.584817966,0.950664839,0.515151509,-1.006933974,0.861450112,2.566627684,1.995779323,3.118528439,2.055160109,2.805448828,3.783400347,2.982870627,3.574230671,3.192948693,2.597402592,2.454832264,1.346688027,1.510309117,-0.305351996,-0.764149409,-2.001494883,-2.582820156,-1.381077018,-0.739006517,-0.700564972,-1.535865475,-2.162742131,-2.722287005,-1.962904014,-2.236500188,-2.182129917,-0.565644433,-0.723322631,1.367900402,1.243098685,-0.408121894,-0.060404694,-0.50814376,1.144195342,2.668743773,2.444511574,1.528834719,0.393622682,-0.633349835,-0.252384516,1.076056928,-1.558432978,-1.215018361,-0.841219715,-1.404086989,2.379677294,4.38552268,4.470439987,6.368255613,9.179770501,9.487476668,8.482157049
Czech Rep.,13.25098259,12.68698061,9.667194925,7.484407475,3.073872093,2.359882017,1.204238931,1.934235979,3.511303505,3.650336202,3.902903379,4.032258058,4.042750931,4.958294727,5.405405403,4.240766076,3.841000451,2.428256066,0.782268578,0.612423455,-0.38709678,0.086206892,-0.043122033,0.826086954,2.374784118,2.583979337,3.106125967,2.975420442,1.602699277,1.553316537,1.84100419,2.428810721,2.864259031,2.852418357,2.958093669,1.471790677,1.493139625,2.451768484,2.593774939,4.875100718,7.435387675,6.78697529,6.612213146,4.648482524,2.109548485,1.396032324,0.109449111,0.477239352,0.652410293,1.268115922,1.93148691,2.046035831,1.764494014,1.753130577,1.787629617,2.36305045,3.644727546,3.375527443,3.266596348,2.868135732,1.809491294,1.53061222,1.258503446,1.156069328,0.167672742,0.167504226,0.604635548,0.436974854,0.100435205,0.668896289,0.367278808,0.100401592,0.468227421,0.265780755,0.532268752,1.471079855,2.430093177,2.22001325,2.547981449,2.602965437,1.852453701,2.269043743,2.387867049,2.087347498,2.712188901,2.820919193,2.83643244,3.019817478,3.603603589,3.113440247,3.309837534,2.625954228,2.188905603,2.899850476,4.123405546,6.12912826,11.23826286,15.77571185,17.57834754,15.69946729
Denmark,2.046203596,1.979065172,1.676161376,1.685300375,2.021354675,2.277463683,2.640837151,3.043827879,3.132873249,3.201987746,2.72521104,2.561282635,2.391696813,2.542758949,2.396738396,2.023247167,2.503236945,2.258201969,2.301790281,2.634934117,2.736842106,2.291666658,1.833333324,1.449275371,0.942622944,1.09979634,1.186579379,1.387755096,1.2180268,1.692183719,2.264456132,2.093397751,2.085840347,2.020602221,1.897983385,1.695583596,1.886051084,1.592233014,1.125339543,2.171384253,3.046664095,3.516819567,4.182655414,2.922201143,1.758982036,1.218611523,0.994475143,1.25368732,2.096358954,2.188982099,2.370532448,2.585579041,2.701729125,3.034630526,2.707516933,2.591409303,2.700806748,2.182952158,2.462712449,2.249134929,1.16120218,0.847744969,0.507786092,0.642977959,0.607697454,0.605245508,0.572583311,0.470746506,0.268456397,0.601604231,0.602813175,0.334672047,0.301204843,0.132890376,0.16644466,0.400266782,0.967634283,0.829462573,1.528747119,1.262458477,0.594844633,0.987166815,0.883797031,0.787401636,1.182654403,0.749429749,0.421804056,0.683593712,0.616883165,0.097024587,0.516962884,0.452635017,0.709906386,1.647819101,1.89649627,3.154167982,4.838192906,7.438016482,9.211356476,9.235569442
Ecuador,29.12919051,34.48675818,35.40863175,44.14069303,45.57543139,54.59249678,53.98074052,53.805267,83.20139191,96.54114365,104.7634987,97.30600063,67.63616504,39.5590879,28.92527143,24.0993591,14.71000637,13.19864407,12.35160654,9.916920621,9.662184686,8.150364144,7.529793998,6.468397785,3.913405739,3.165694317,1.990422113,1.932675688,1.351024043,1.674504945,2.674779172,2.97130143,3.808499431,3.111521941,3.187142653,3.096406505,2.058109307,1.711430906,2.534506357,2.793505488,5.283459036,9.052983441,9.952779626,9.270328007,7.879832964,5.48431767,3.489584163,3.94481317,4.030169655,3.250342478,3.55339747,3.39206079,3.379771245,4.129373705,4.890854203,5.479290113,5.646357543,5.090215721,5.063262834,4.626283642,3.527922025,2.90608657,2.125108905,2.347718807,2.961060757,3.438706547,4.149763741,3.801815769,3.781491567,4.578318614,4.09381753,3.419502738,2.670331632,1.667397128,1.432332111,1.161619325,0.939197818,0.78408751,0.118401071,-0.168830411,-0.149715292,-0.835364127,-0.220085465,0.314038606,0.193242842,0.391451703,0.321924074,0.157833717,-0.116678128,0.643920452,-0.732800115,-1.150127031,-0.892113261,-1.097092592,0.802397784,1.750781814,2.636597248,3.503248352,3.913240195,3.801718845
"Estonia, Rep. of",11.86559327,8.923180141,7.35632184,5.004812327,4.005006265,3.26455189,2.630773944,3.299725009,3.158844757,3.071875933,4.441132637,5.383022775,5.890930305,6.712962974,6.050228317,4.378332872,4.323877714,4.175704989,2.798708278,3.011562248,2.428722277,0.75481519,1.151832467,1.018010968,0.438144339,3.177473526,3.985507246,4.599483192,4.567616117,3.505257887,4.280736683,3.977272734,4.392638028,4.426705373,4.43914081,4.490377756,5.195110489,5.675237427,6.421389399,9.049567989,11.08379889,11.39850943,10.84389092,8.236030021,3.138201563,-0.314836683,-1.046106166,-1.964939317,0.27306417,3.138570865,3.249804235,5.246610318,5.368605291,5.244019176,5.252180551,4.088872313,4.375115435,3.909801791,3.72905782,3.730941747,3.519632096,3.377668849,2.778742566,1.469825288,0.615069175,-0.016929114,-0.557620836,-0.460122707,-0.899982987,-0.050795762,-0.475785861,-0.544427341,-0.428375603,-0.694562121,0.443913226,1.287612807,2.994321091,3.138860453,3.722590534,3.80693404,3.107769423,3.324512145,3.572599206,3.732809421,2.301085728,2.897390694,2.199367045,1.72032827,1.488990972,-1.151213408,-0.944418625,-1.132660983,0.655533003,3.084671089,5.548608949,9.337727582,12.83919994,20.24427476,23.76754032,20.43921348
Finland,1.874633905,1.585687762,1.200304686,0.946004234,0.681522644,1.17715178,1.1409313,1.645625119,2.732313345,2.779947443,3.254651143,3.395830479,2.819898355,3.124370133,2.531145548,1.850202029,1.964129807,1.388622203,1.347711366,1.589926725,1.610618613,0.865175453,0.575401631,0.465368497,-0.06974256,-0.177252491,0.400461534,0.596465537,0.501620513,0.820192066,0.657417868,0.51672527,0.869564068,1.566141772,1.766075786,2.061164932,2.354115185,2.46062627,2.488536059,2.736157519,3.822482183,4.066608502,4.568693812,3.804689697,1.622458996,0.215381654,-0.763824091,-1.038481156,0.161689857,0.93255483,1.070454507,2.578807062,3.222986553,3.348447867,3.830737188,3.265819743,3.076774532,2.997940554,2.7823393,2.383085429,1.680408216,1.503896393,1.342554434,1.388451068,1.323335869,0.922917101,1.102437505,0.818588127,-0.12171509,-0.123477218,-0.337469597,-0.248589841,-0.033394566,0.309824429,0.433434408,0.71573623,0.965425087,0.770508082,0.680543118,0.601573335,0.734515644,0.978841217,1.295832241,1.324089909,1.156145274,1.217402644,0.947234792,0.778235394,0.811741075,-0.174126106,0.319231268,0.209144409,1.046766329,2.086698078,2.201793586,3.438864635,4.902304519,6.831413775,7.840608864,8.865435315
France,0.748999187,0.987633114,0.608945497,0.260850967,0.256355473,0.382685599,0.520011934,0.989507816,1.461751554,1.423246354,1.903913844,1.913168338,1.306283596,2.05061812,1.776797596,1.404831956,2.151830509,1.624718632,1.774397978,2.145484269,2.366263492,1.912854379,1.932270115,2.184436892,1.800087236,2.390642915,2.285804363,2.090756031,1.721518982,1.701914166,1.880249672,1.6797699,1.784278437,1.912495732,1.694274267,1.312563646,1.162397026,1.172878574,1.268129413,2.345407841,2.94883236,3.304872666,3.249972459,1.760576187,0.624887127,-0.206626286,-0.42324655,0.364611258,1.324574628,1.61359414,1.543022482,1.641913266,1.796152611,2.065767293,2.138661235,2.442357605,2.314331458,1.999862333,1.976788163,1.532409779,1.061260553,0.806533304,0.938840375,0.650203845,0.727003503,0.629351878,0.398139726,0.277814984,-0.240585468,0.212907504,0.083311166,0.093461028,-0.040194216,-0.006639262,0.279692326,0.500216772,1.233119985,0.886395337,0.869940528,1.141454034,1.360431634,1.895422748,2.248263664,1.896263252,1.221344141,1.123849496,1.004442695,1.085031729,1.19370244,0.297001261,0.347421467,0.076442843,0.742842504,1.38190147,1.724740294,2.718013957,3.658343631,5.288944739,5.848373162,6.066803016
Germany,1.248496478,1.367658422,0.597367801,0.43876504,0.198884972,0.515867952,0.673007309,0.953134988,1.548231731,1.105413279,1.37632289,1.730922097,1.720090931,2.538068266,2.017074084,1.662800574,1.998464962,1.294744463,1.216724019,1.179157588,1.130370649,0.789473815,1.051840891,1.165407011,0.968702373,1.864980885,1.821557419,2.006692346,1.623617684,1.244960633,1.642937467,1.67577675,1.706603551,1.8444861,1.472700825,1.289852927,1.785081717,2.059660541,2.265487706,3.077473621,2.946331085,2.887952991,3.080650136,1.612902349,0.817715155,0.2705489,-0.235057122,0.405271272,0.811090452,1.112987734,1.110740036,1.379074196,1.877305027,2.001332883,2.197068717,2.222962088,2.138859049,1.863960491,2.01954009,2.012333346,1.546391543,1.508831156,1.62835748,1.336299475,1.205581942,1.07526485,0.848248913,0.50235595,-0.051105586,0.968857438,0.728883142,0.409232912,0.30261833,0.132884157,0.497346205,1.03402811,1.642645495,1.426672865,1.550644979,1.41960074,1.319258836,1.733730562,1.884340057,1.985679854,1.367183874,1.704167589,1.466823852,1.244813354,1.619555708,0.411902069,-0.916464713,-0.50441336,1.499000681,2.190507856,3.878301584,4.709418828,4.791598316,6.658005793,7.402639214,8.580542254
