Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Korea, Rep.",KOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14195.81309,15711.56402,16992.47908,17680.84549,18936.95165,19431.97111,20361.06925,21193.35751,22192.18512,23360.90574,23882.7305,23948.47224,25451.00416,26186.89754,26675.44017,27394.65031,28094.9177,28732.23108,29461.78401,30307.39524,31053.63793,31640.21463,31372.47126,32730.65063,33644.64818
Latvia,LVA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6084.285011,6303.074855,6725.33754,7243.56298,7847.645368,8591.267913,9405.061722,10526.45225,11895.27506,13185.06932,12891.44234,11237.10893,10962.23153,11450.9768,12410.36526,12795.87829,13162.65456,13786.4568,14242.57267,14845.33489,15558.69178,16069.84043,15826.41266,16609.07515,16947.29262
Lithuania,LTU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6178.123821,6151.082964,6423.420676,6899.236834,7424.394824,8275.803448,8919.081749,9766.487647,10659.40021,11984.92329,12425.3981,10699.78946,11106.95021,12046.72139,12678.69269,13262.33446,13850.00013,14263.96458,14810.25178,15661.99625,16443.58529,17249.71844,17241.29523,18233.62744,18366.94023
Luxembourg,LUX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,82170.23992,87695.33958,92527.71181,94243.70732,96269.57939,97597.99692,100292.5685,101222.0457,105614.1799,112417.8785,110094.7923,104574.3499,106544.0572,105290.249,104487.7442,105338.9561,105583.937,105462.0126,108351.4522,107142.1276,106376.7836,106729.0249,104128.2421,107792.189,107660.1374
Mexico,MEX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8576.604358,8669.367599,8954.823208,8782.145867,8646.180868,8641.739759,8849.529249,8925.255441,9200.421932,9288.182014,9276.074347,8677.776544,9001.705095,9199.16538,9401.997684,9404.61606,9553.286174,9753.400562,9897.170878,9997.707942,10120.38483,10013.72425,9147.072744,9525.429719,9755.616873
Morocco,MAR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1920.132813,1925.395142,1948.354492,2070.847656,2120.131104,2222.937012,2295.015381,2336.503418,2484.974365,2536.777344,2646.064697,2709.40918,2766.921875,2879.944092,2927.290527,3006.31665,3047.130859,3139.228271,3116.562988,3234.751465,3296.194092,3355.613037,3081.367432,3290.604004,3291.878662
Netherlands,NLD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37480.70945,39106.38816,40456.94224,41087.04217,40914.3255,40785.12222,41450.40427,42201.77541,43592.30274,45138.67844,45939.1482,44027.60256,44390.50441,44869.31294,44242.97353,44055.30426,44521.89454,45193.40322,45938.78504,46997.34545,47826.81912,48443.73205,46303.21886,48301.52896,49979.8527
New Zealand,NZL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,28755.23845,30142.12823,30825.9568,31690.09701,32612.47121,33487.09225,34342.1537,35095.36316,35640.38446,36391.89654,35647.4676,35253.31348,35374.92542,35886.13726,36501.18386,37223.30664,38005.28193,38630.72659,39208.76763,39751.61362,40422.34579,40757.36815,39607.87893,41481.98674,42271.71472
Norway,NOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,65197.94631,66094.73546,67846.59685,68899.5269,69472.98367,69719.31227,72091.0133,73524.25492,74729.76321,76115.70667,75535.21179,73141.30734,72804.39562,72660.67541,73661.67859,73515.91449,74180.32387,74809.9658,75017.49447,76247.41166,76373.64746,76712.28713,75287.20595,77805.00755,79638.75142
Philippines,PHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1776.984544,1794.129793,1831.69921,1848.01494,1877.561655,1933.647982,2020.129703,2079.331832,2149.00627,2246.68989,2300.856108,2291.622762,2415.783578,2464.684351,2589.134401,2717.67978,2843.843607,2974.29692,3130.910645,3289.472272,3439.100528,3589.613641,3195.538887,3328.042359,3527.981157
